date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,502.65,504.0,499.05,503.05,1351985
2015-01-02 00:00:00+05:30,503.2,516.9,501.7,514.29,3852825
2015-01-05 00:00:00+05:30,516.9,520.4,515.1,517.54,2561430
2015-01-06 00:00:00+05:30,513.54,513.54,496.75,499.05,5284530
2015-01-07 00:00:00+05:30,498.8,505.35,494.5,498.65,4245189
2015-01-08 00:00:00+05:30,506.0,507.0,494.65,501.95,5637844
2015-01-09 00:00:00+05:30,504.9,505.9,487.0,494.95,5078463
2015-01-12 00:00:00+05:30,495.0,503.8,492.15,501.55,2290147
2015-01-13 00:00:00+05:30,504.0,511.7,500.3,504.5,4069260
2015-01-14 00:00:00+05:30,504.5,505.75,494.2,499.6,2973231
2015-01-15 00:00:00+05:30,523.45,523.95,511.1,514.04,6670800
2015-01-16 00:00:00+05:30,516.6,521.5,512.6,514.79,6920742
2015-01-19 00:00:00+05:30,519.45,531.79,516.85,528.95,6113156
2015-01-20 00:00:00+05:30,532.54,554.7,531.1,551.4,6934581
2015-01-21 00:00:00+05:30,553.0,556.79,545.54,547.25,4459351
2015-01-22 00:00:00+05:30,549.7,567.15,547.79,564.75,5546866
2015-01-23 00:00:00+05:30,571.0,577.4,560.29,565.15,4975114
2015-01-27 00:00:00+05:30,570.9,597.79,567.0,592.1,5376830
2015-01-28 00:00:00+05:30,590.0,599.79,583.45,590.6,6370073
2015-01-29 00:00:00+05:30,588.95,602.0,582.1,599.5,5424486
2015-01-30 00:00:00+05:30,602.75,604.04,583.7,588.1,4497194
2015-02-02 00:00:00+05:30,586.0,621.0,584.4,617.29,6307718
2015-02-03 00:00:00+05:30,623.0,625.6,584.5,586.6,9290016
2015-02-04 00:00:00+05:30,591.0,592.0,553.25,558.6,10773056
2015-02-05 00:00:00+05:30,562.4,578.5,558.6,565.9,6865785
2015-02-06 00:00:00+05:30,568.0,571.5,545.75,563.15,7706020
2015-02-09 00:00:00+05:30,555.0,569.6,550.0,553.6,4334546
2015-02-10 00:00:00+05:30,546.9,569.79,540.5,554.1,9809275
2015-02-11 00:00:00+05:30,559.35,572.65,555.5,569.25,6200994
2015-02-12 00:00:00+05:30,573.0,581.5,564.0,578.75,5849894
2015-02-13 00:00:00+05:30,582.15,588.75,576.5,581.1,4633409
2015-02-16 00:00:00+05:30,583.0,584.0,566.1,570.29,4284303
2015-02-18 00:00:00+05:30,572.0,574.0,564.0,569.5,4695905
2015-02-19 00:00:00+05:30,574.0,575.6,553.25,565.25,5349212
2015-02-20 00:00:00+05:30,566.45,570.79,554.0,561.5,6025707
2015-02-23 00:00:00+05:30,563.5,567.0,546.04,549.04,6089272
2015-02-24 00:00:00+05:30,549.9,555.7,542.0,551.79,6155111
