date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,678.8,681.58,674.0,680.5,205685
2015-01-02 00:00:00+05:30,681.02,701.2,679.8,699.14,224650
2015-01-05 00:00:00+05:30,700.0,709.52,695.4,701.77,495070
2015-01-06 00:00:00+05:30,697.4,697.8,668.38,675.01,626775
2015-01-07 00:00:00+05:30,680.0,686.8,674.0,683.5,650720
2015-01-08 00:00:00+05:30,686.0,692.4,679.66,684.99,205240
2015-01-09 00:00:00+05:30,686.0,692.74,679.0,680.91,254330
2015-01-12 00:00:00+05:30,681.9,689.6,678.6,687.11,142420
2015-01-13 00:00:00+05:30,693.4,718.0,689.4,709.27,471635
2015-01-14 00:00:00+05:30,709.0,719.98,708.08,713.36,267935
2015-01-15 00:00:00+05:30,720.0,738.6,714.01,733.63,537805
2015-01-16 00:00:00+05:30,733.63,739.48,723.02,727.3,393125
2015-01-19 00:00:00+05:30,730.52,743.0,728.56,730.5,364180
2015-01-20 00:00:00+05:30,737.39,741.4,733.2,738.31,340560
2015-01-21 00:00:00+05:30,740.31,762.0,730.8,756.65,584810
2015-01-22 00:00:00+05:30,764.0,764.96,752.06,761.88,371685
2015-01-23 00:00:00+05:30,768.0,768.33,751.42,758.61,463790
2015-01-27 00:00:00+05:30,759.74,772.8,755.0,770.0,647495
2015-01-28 00:00:00+05:30,766.03,782.6,766.03,778.94,606930
2015-01-29 00:00:00+05:30,778.8,790.0,770.33,786.38,414840
2015-01-30 00:00:00+05:30,786.0,795.0,772.26,776.81,561120
2015-02-02 00:00:00+05:30,765.62,775.68,760.0,761.66,306835
2015-02-03 00:00:00+05:30,764.38,780.4,760.0,777.59,873135
2015-02-04 00:00:00+05:30,778.39,787.48,775.05,779.43,453475
2015-02-05 00:00:00+05:30,776.04,785.07,770.0,777.5,897635
2015-02-06 00:00:00+05:30,768.04,783.6,756.47,761.0,466815
2015-02-09 00:00:00+05:30,759.0,760.18,737.23,741.7,204795
2015-02-10 00:00:00+05:30,737.8,765.83,730.38,762.66,370990
2015-02-11 00:00:00+05:30,762.66,777.54,759.03,768.83,590070
2015-02-12 00:00:00+05:30,781.4,786.3,761.52,765.45,563460
2015-02-13 00:00:00+05:30,768.0,778.78,768.0,771.99,302750
2015-02-16 00:00:00+05:30,772.41,779.96,767.2,771.05,200590
2015-02-18 00:00:00+05:30,771.2,777.0,762.0,773.48,440310
2015-02-19 00:00:00+05:30,773.6,780.0,752.22,757.23,618915
2015-02-20 00:00:00+05:30,757.58,763.03,750.2,752.14,212365
2015-02-23 00:00:00+05:30,754.2,759.87,730.47,739.14,341690
2015-02-24 00:00:00+05:30,737.8,741.5,730.8,736.36,229970
2015-02-25 00:00:00+05:30,738.21,744.0,730.0,733.66,214895
2015-02-26 00:00:00+05:30,735.01,742.76,716.13,719.58,610285
2015-02-27 00:00:00+05:30,726.56,754.6,718.92,749.05,608705
2015-03-02 00:00:00+05:30,760.0,801.51,757.01,797.46,779825
2015-03-03 00:00:00+05:30,796.0,804.97,784.0,799.56,581220
2015-03-04 00:00:00+05:30,799.2,801.58,772.35,776.56,359280
2015-03-05 00:00:00+05:30,777.2,782.0,751.53,756.94,447130
2015-03-09 00:00:00+05:30,755.0,761.6,740.0,742.09,321475
2015-03-10 00:00:00+05:30,742.0,749.68,735.0,739.77,305945
2015-03-11 00:00:00+05:30,739.4,744.2,728.04,740.2,192885
2015-03-12 00:00:00+05:30,744.0,755.8,742.53,748.23,234385
2015-03-13 00:00:00+05:30,749.25,757.4,723.2,733.9,646800
2015-03-16 00:00:00+05:30,738.0,743.95,730.6,738.47,141745
2015-03-17 00:00:00+05:30,741.03,745.4,733.91,741.05,239705
2015-03-18 00:00:00+05:30,742.4,742.4,730.4,733.86,238830
2015-03-19 00:00:00+05:30,735.6,745.76,719.0,722.4,265035
2015-03-20 00:00:00+05:30,722.4,728.0,710.0,723.09,270055
2015-03-23 00:00:00+05:30,728.99,737.0,715.96,725.95,241665
2015-03-24 00:00:00+05:30,722.03,732.0,716.0,718.68,291550
2015-03-25 00:00:00+05:30,719.0,727.37,710.21,714.08,463855
2015-03-26 00:00:00+05:30,712.0,720.2,705.73,709.83,897360
2015-03-27 00:00:00+05:30,708.44,719.8,708.0,713.79,278545
2015-03-30 00:00:00+05:30,715.01,733.59,711.0,726.22,404360
2015-03-31 00:00:00+05:30,726.4,730.99,718.66,724.47,426150
2015-04-01 00:00:00+05:30,728.0,745.14,718.0,738.81,205575
2015-04-06 00:00:00+05:30,740.2,746.0,735.44,739.62,147260
2015-04-07 00:00:00+05:30,740.26,757.0,734.89,753.26,333195
2015-04-08 00:00:00+05:30,751.0,762.0,751.0,760.05,221240
2015-04-09 00:00:00+05:30,762.0,764.66,752.19,753.68,164870
2015-04-10 00:00:00+05:30,754.0,760.79,750.4,758.54,132855
2015-04-13 00:00:00+05:30,758.21,760.0,749.41,756.1,142655
2015-04-15 00:00:00+05:30,757.0,765.38,756.23,760.92,213520
2015-04-16 00:00:00+05:30,760.2,765.05,738.23,746.0,491000
2015-04-17 00:00:00+05:30,746.0,749.2,726.0,729.44,357165
2015-04-20 00:00:00+05:30,727.0,737.58,716.23,722.4,339135
2015-04-21 00:00:00+05:30,722.0,733.8,713.2,726.82,377595
2015-04-22 00:00:00+05:30,726.82,742.0,725.0,734.0,281130
2015-04-23 00:00:00+05:30,735.98,741.0,719.2,727.86,222475
2015-04-24 00:00:00+05:30,728.26,738.92,720.03,732.61,127370
2015-04-27 00:00:00+05:30,732.02,733.6,717.13,722.74,388960
2015-04-28 00:00:00+05:30,721.2,728.78,711.22,724.74,387020
2015-04-29 00:00:00+05:30,720.63,738.0,707.01,719.89,342365
2015-04-30 00:00:00+05:30,719.01,724.0,713.44,717.86,802210
2015-05-04 00:00:00+05:30,716.2,729.8,709.01,725.0,640000
2015-05-05 00:00:00+05:30,720.9,725.0,711.01,716.1,349120
2015-05-06 00:00:00+05:30,715.0,718.24,692.4,695.6,545410
2015-05-07 00:00:00+05:30,692.4,705.56,688.6,702.11,198700
2015-05-08 00:00:00+05:30,705.56,705.56,695.0,698.63,325585
2015-05-11 00:00:00+05:30,702.0,713.8,698.88,711.35,122260
2015-05-12 00:00:00+05:30,711.8,715.0,694.4,697.63,501380
2015-05-13 00:00:00+05:30,701.0,711.0,693.0,702.84,161470
2015-05-14 00:00:00+05:30,700.4,710.8,691.24,706.05,117890
2015-05-15 00:00:00+05:30,704.05,716.14,704.05,710.05,168510
2015-05-18 00:00:00+05:30,709.42,714.98,707.13,710.33,273410
2015-05-19 00:00:00+05:30,712.0,722.2,706.4,718.1,381105
2015-05-20 00:00:00+05:30,718.74,726.94,715.99,719.08,203790
2015-05-21 00:00:00+05:30,722.98,737.69,715.44,735.1,367960
2015-05-22 00:00:00+05:30,736.4,739.6,725.0,728.09,151035
2015-05-25 00:00:00+05:30,727.0,734.4,710.48,713.53,114910
2015-05-26 00:00:00+05:30,715.0,720.72,710.0,714.44,150340
2015-05-27 00:00:00+05:30,712.0,724.0,710.2,715.74,388900
2015-05-28 00:00:00+05:30,716.48,717.64,700.42,702.37,692135
2015-05-29 00:00:00+05:30,704.0,732.48,704.0,728.13,439670
2015-06-01 00:00:00+05:30,728.13,736.0,721.2,722.69,144235
2015-06-02 00:00:00+05:30,722.0,723.26,698.0,700.47,245885
2015-06-03 00:00:00+05:30,697.4,698.89,678.6,681.34,264470
2015-06-04 00:00:00+05:30,684.26,691.9,679.01,689.78,247235
2015-06-05 00:00:00+05:30,684.81,693.6,680.0,681.79,309350
2015-06-08 00:00:00+05:30,682.76,687.77,674.8,681.28,132035
2015-06-09 00:00:00+05:30,680.0,692.96,679.96,688.66,169220
2015-06-10 00:00:00+05:30,688.0,694.6,686.41,690.02,200245
2015-06-11 00:00:00+05:30,690.23,692.2,670.0,672.97,356315
2015-06-12 00:00:00+05:30,672.22,675.0,664.04,671.06,213725
2015-06-15 00:00:00+05:30,671.0,675.19,665.0,670.04,288385
2015-06-16 00:00:00+05:30,668.0,677.81,665.0,674.13,221625
2015-06-17 00:00:00+05:30,674.58,682.0,669.3,673.26,231575
2015-06-18 00:00:00+05:30,674.79,677.6,670.2,673.31,267715
2015-06-19 00:00:00+05:30,674.83,681.0,673.0,676.84,222485
2015-06-22 00:00:00+05:30,677.54,683.76,674.4,679.73,324105
2015-06-23 00:00:00+05:30,682.0,689.2,678.93,686.76,243280
2015-06-24 00:00:00+05:30,686.8,696.0,675.48,680.06,543280
2015-06-25 00:00:00+05:30,680.0,685.0,677.0,681.17,522545
2015-06-26 00:00:00+05:30,681.4,687.8,678.02,679.43,288040
2015-06-29 00:00:00+05:30,676.99,677.19,660.2,674.45,331695
2015-06-30 00:00:00+05:30,674.45,691.0,670.25,688.49,139670
2015-07-01 00:00:00+05:30,688.61,706.0,685.63,703.3,218970
2015-07-02 00:00:00+05:30,709.78,709.78,691.8,694.02,174755
2015-07-03 00:00:00+05:30,691.46,704.0,691.46,701.35,191395
2015-07-06 00:00:00+05:30,694.4,714.79,693.8,712.15,265540
2015-07-07 00:00:00+05:30,712.4,721.52,712.4,714.67,221010
2015-07-08 00:00:00+05:30,712.0,714.47,699.0,701.95,261235
2015-07-09 00:00:00+05:30,703.2,711.95,701.24,703.33,122420
2015-07-10 00:00:00+05:30,704.6,720.72,704.0,719.3,269325
2015-07-13 00:00:00+05:30,723.78,730.8,715.32,726.42,246860
2015-07-14 00:00:00+05:30,727.0,729.0,720.61,725.06,134855
2015-07-15 00:00:00+05:30,725.94,739.74,725.0,737.3,282760
2015-07-16 00:00:00+05:30,739.72,740.8,731.48,734.95,215925
2015-07-17 00:00:00+05:30,736.38,744.8,734.8,739.38,240800
2015-07-20 00:00:00+05:30,735.0,755.8,725.6,753.82,433725
2015-07-21 00:00:00+05:30,752.02,756.6,728.2,734.12,284560
2015-07-22 00:00:00+05:30,734.0,750.11,732.0,747.67,206380
2015-07-23 00:00:00+05:30,746.05,747.52,736.0,740.06,120500
2015-07-24 00:00:00+05:30,735.01,741.78,732.54,734.58,110125
2015-07-27 00:00:00+05:30,730.0,745.0,728.18,736.35,258815
2015-07-28 00:00:00+05:30,734.8,747.45,727.46,735.15,277035
2015-07-29 00:00:00+05:30,735.0,739.54,728.0,731.33,179835
2015-07-30 00:00:00+05:30,736.8,746.5,731.54,744.16,292960
2015-07-31 00:00:00+05:30,748.0,752.0,740.82,743.25,335605
2015-08-03 00:00:00+05:30,743.4,749.6,742.0,747.65,323795
2015-08-04 00:00:00+05:30,748.0,757.61,743.0,752.95,648420
2015-08-05 00:00:00+05:30,753.0,757.79,746.53,752.51,379155
2015-08-06 00:00:00+05:30,753.0,759.0,744.0,750.43,260260
2015-08-07 00:00:00+05:30,751.0,768.58,740.8,761.74,1695575
2015-08-10 00:00:00+05:30,764.95,767.25,749.0,754.67,359740
2015-08-11 00:00:00+05:30,755.02,759.6,740.47,744.01,313235
2015-08-12 00:00:00+05:30,741.6,751.6,724.2,732.19,367795
2015-08-13 00:00:00+05:30,731.94,736.96,714.8,721.05,197240
2015-08-14 00:00:00+05:30,726.0,744.4,724.0,740.75,138695
2015-08-17 00:00:00+05:30,741.0,744.6,732.55,737.7,87755
2015-08-18 00:00:00+05:30,738.02,749.6,735.1,742.12,160830
2015-08-19 00:00:00+05:30,742.0,752.0,737.2,747.29,460765
2015-08-20 00:00:00+05:30,734.2,746.02,726.2,738.59,246235
2015-08-21 00:00:00+05:30,730.4,733.4,716.17,725.05,337125
2015-08-24 00:00:00+05:30,710.0,715.68,680.2,690.85,720425
2015-08-25 00:00:00+05:30,693.21,698.99,672.53,691.68,432540
2015-08-26 00:00:00+05:30,691.54,699.36,677.6,682.38,332320
2015-08-27 00:00:00+05:30,684.0,704.26,673.8,700.83,409710
2015-08-28 00:00:00+05:30,707.4,711.01,688.32,689.98,296060
2015-08-31 00:00:00+05:30,690.0,698.71,683.8,689.31,111075
